Late show up percentage,Project initiative percentage,Percentage of project delivery on time,Percentage of emails exchanged,Percentage of responsiveness,Percentage of professional email response,Percentage of sharing ideas,Percentage of helping colleagues,Percentage of entrepreneurial posts on LinkedIn,Percentage of Facebook comments,Quitting
0.574913049,0.663657767,0.557539392,0.42906798,0.583784828,0.553200775,0.309246702,0.579036352,0.83652403,0.704433855,1
0.678016057,0.403683823,0.211204716,0.330101131,0.503086818,0.471098252,0.404733665,0.364102857,0.798703293,0.573851617,1
0.181838755,0.440005174,0.664501654,0.435057902,0.786448961,0.690086967,0.357830753,0.561365403,0.361058317,0.751948601,0
0.164770384,0.462802884,0.384107233,0.398145213,0.736809377,0.480818589,0.487455529,0.621330668,0.186827183,0.680360232,0
0.520637409,0.719459525,0.402597566,0.295636744,0.324994416,0.392605157,0.447052888,0.269783457,0.740912433,0.529187118,1
0.7218306,0.29896278,0.54899254,0.269383841,0.710115108,0.504996427,0.524791881,0.299730597,0.863697169,0.399909235,1
0.108554991,0.466762922,0.464515255,0.3268052,0.207268281,0.642376696,0.569712091,0.693597489,0.354238191,0.437371551,0
0.566565103,0.091884952,0.247288056,0.279129967,0.650352725,0.254402408,0.473127922,0.301485491,0.565304233,0.480280694,1
0.329007847,0.837085103,0.480444005,0.662778291,0.36897922,0.444278811,0.391199453,0.455288702,0.476851889,0.812317364,0
0.709130206,0.35227197,0.388402708,0.299446566,0.577895624,0.669735207,0.568926504,0.417987447,0.540174631,0.873544269,1
0.374802131,0.300034149,0.434825834,0.520160278,0.240089022,0.713094505,0.831579447,0.815066588,0.193378473,0.506002855,0
0.561157058,0.417818034,0.792382377,0.497767025,0.213750944,0.598293983,0.558652795,0.852217323,0.154584963,0.598863468,0
0.512252023,0.406887877,0.459411062,0.196669468,0.396097409,0.069525375,0.326310727,0.515192086,0.433668458,0.506363033,0
0.318232483,0.574392985,0.648382422,0.400192249,0.546813073,0.48395755,0.486426175,0.66221271,0.352248256,0.905906856,0
0.556526776,0.619288738,0.51721722,0.509787331,0.598664896,0.292067574,0.778834093,0.473157314,0.91060351,0.452142734,1
0.41200092,0.692423797,0.496158869,0.395239311,0.677281852,0.691156852,0.604385143,0.754532884,0.514855007,0.769293238,0
0.601910117,0.174058394,0.015106389,0.443239749,0.519220519,0.715229654,0.530002494,0.467742932,0.628506366,0.307278823,1
0.453816642,0.581982451,0.581434098,0.518845572,0.550648296,0.886452985,0.293699941,0.94871597,0.39541077,0.468924192,0
0.866392391,0.329787843,0.28498826,0.391487182,0.636130196,0.439554663,0.309085921,0.178374621,0.562206746,0.556576694,1
0.580708304,0.462221911,0.231375442,0.224513134,0.525633325,0.325871526,0.555980401,0.358805403,0.75703034,0.422397479,1
0.719418544,0.504238311,0.235573731,0.393071778,0.346241389,0.414721285,0.247560593,0.320777737,0.737213846,0.52350265,1
0.968357605,0.316452296,0.265721489,0.439366317,0.367151105,0.414436715,0.580967647,0.268371026,0.537222966,0.53109874,1
0.56564393,0.369450217,0.658335865,0.577737646,0.424768558,0.680886218,0.351189024,1,0.508417348,0.658460889,0
0.528641069,0.581606771,0.133472652,0.307905004,0.460172272,0.414966226,0.492251947,0.808899402,0.305635169,0.410793066,0
0.640665282,0.574948058,0.654749602,0.247363179,0.319029172,0.197519197,0.328588182,0.557687838,0.490597721,0.642876274,1
0.794255785,0.514761198,0.263153378,0.406301443,0.698330029,0.305568189,0.368265086,0.489972966,0.59398759,0.707143637,1
0.278549491,0.124863078,0.412633296,0.525035666,0.422262194,0.528955501,0.487265568,0.326148684,0.752528967,0.74194556,1
0.577548783,0.387563707,0.57339554,0.309069974,0.12070523,0.557052888,0.867408802,0.655687493,0.263044801,0.531932003,0
0.133422362,0.527221318,0.631715651,0.329865764,0.661805553,0.482732708,0.451477537,0.629854686,0.658133209,0.586858519,0
0.563728769,0.196278688,0.384411177,0.484095166,0.338077626,0.525455271,0.819041559,0.811879489,0.621300091,0.65519856,0
0.292558955,0.618420467,0.542134201,0.555760459,0.823453909,0.526124872,0.618604391,0.795331465,0.242331078,0.693915865,0
0.80569459,0.641012356,0.42951491,0.258750049,0.551743085,0.483103048,0.37479919,0.364870176,0.618424446,0.673477119,1
0.396716626,0.499514222,0.235913675,0.288834142,0.557002462,0.656264914,0.514243767,0.38673212,0.552585252,0.778950292,1
1,0.515804121,0.349138979,0.31219316,0.300162011,0.65327841,0.537470513,0.463290598,0.280170275,0.306449006,1
0.405961919,0.455314769,0.56274746,0.383367376,0.500737701,0.621425759,0.489831832,0.806284137,0.616708413,0.837384914,0
0.819699207,0.333190576,0.636520854,0.333677441,0.659862696,0.281729956,0.382650296,0.290449708,0.785224765,0.408314599,1
0.67097578,0.492851214,0.39636003,0.286852508,0.787699842,0.501918346,0.212764305,0.61745495,0.444354785,0.72180924,0
0.66214899,0.418639617,0.369500401,0.216442543,0.396838248,0.256303343,0.344116053,0.799459645,0.586639339,0.237225616,0
0.443232751,0.776515038,0.502893356,0.237608702,0.203529699,0.38534389,0.564837669,0.407179725,0.569387085,0.527731278,0
0.679530036,0.118942354,0.641704616,0.323667288,0.159053123,0.358137903,0.298869438,0.487642423,0.628689832,0.55406627,1
0.451403501,0.790803489,0.398890322,0.426020134,0.282200849,0.773152828,0.227669816,0.679142237,0.575849698,0.47092743,0
0.702704212,0.615137505,0.382579361,0.39744018,0.668063395,0.209348097,0.154364416,0.508861113,0.710212499,0.349529336,1
0.489267281,0.685623027,0.489775586,0.2595299,0.785871582,0.376163106,0.628415291,0.717016429,0.500852636,0.624684979,0
0.264716144,0.666295481,0.664933149,0.562372274,0.460437916,0.833266401,0.965553494,0.407098299,0.385573547,0.308025476,0
0.628402273,0.600059156,0.634196321,0.132141225,0.527517213,0.262284617,0.2915454,0.587684921,0.577429329,0.375821091,1
0.930302282,0.359647474,0.337937317,0.342670742,0.490079832,0.539695504,0.446691488,0.200617462,0.666516104,0.460025233,1
0.80465462,0.47362888,0.159072967,0.332966952,0.437970601,0.592721833,0.44526864,0.299587401,0.696362428,0.411632933,1
0.875144288,0.556957029,0.521388142,0.286144553,0.535687392,0.440900854,0.790835994,0.411627646,0.395813484,0.665912464,0
0.806639759,0.914225387,0.444446699,0.387337489,0.590968579,0.561558625,0.385242669,0.576405752,0.397659717,0.555167407,1
0.603588389,0.398877263,0.083292129,0.315729597,0.708584393,0.257317923,0.326233594,0.388841726,0.458015361,0.349504015,1
0.763352893,0.372498439,0.360863411,0.292180792,0.600405537,0.333488754,0.159075917,0.537268545,0.665216844,0.528914896,1
0.408215415,0.448246849,0.519946278,0.069640994,0.556784561,0.357350276,0.679351812,0.691539236,0.452666659,0.211014205,0
0.380233422,0.7605576,0.638824777,0.341644616,0.674660756,0.63325643,0.432735593,0.468870437,0.26518802,0.769521139,0
0.500600282,0.622934704,0.079384094,0.644711503,0.511875782,0.247395491,0.73390221,0.618923862,0.604504104,0.343217394,1
0.625451897,0.170264869,0.552242343,0.469688298,0.557270428,0.434383843,0.415069624,0.398710046,0.810799143,0.809910863,1
0.949044769,0.297370921,0.543815367,0.480585288,0.532919364,0.273848578,0.627848912,0.242577884,0.662568929,0.557446371,1
0.642498288,0.277729925,0.150169897,0.49377708,0.565534521,0.505633231,0.969841611,0.496893569,0.516788837,0.510391934,1
0.45541749,0.229175166,0.491040023,0.184122638,0.532976825,0.484218068,0.557804021,0.52817718,0.72699622,0.681853949,1
0.756470218,0.445652627,0.146968947,0.241911375,0.440003007,0.493611081,0.555625006,0.4805215,0.538101663,0.58395268,1
0.396755446,0.506063947,0.803473014,0.534777482,0.581123898,0.436507565,0.481236101,0.626181862,0.48744347,0.934947679,0
0.885038611,0.255756396,0.260553009,0.269563405,0.431964127,0.381733231,0.652919352,0.329843454,0.51573615,0.442494292,1
0.643545563,0.4222901,0.357159177,0.151133683,0.748909752,0.582466289,0.373786108,0.36697662,0.50641162,0.64853248,1
0.527266016,0.35256118,0.600294537,0.462246303,0.405426254,0.286610984,0.443592637,0.47347324,1,0.379321986,1
0.415042323,0.363367067,0.533559516,0.426422937,0.320115092,0.294292255,0.33233606,0.62255899,0.771266586,0.739104034,1
0.626764588,0.527734024,0.565061922,0.451517938,0.149865197,0.795923727,0.186635777,0.41912513,0.190938993,0.636357413,0
0.08540494,0.632512736,0.735573053,0.335387498,0.65648969,0.606166254,0.483194574,0.566959057,0.490437018,0.478431408,0
0.373994226,0.460262495,0.704112973,0.138864905,0.482984758,0.456329576,0.555088301,0.363168451,0.379115533,0.706686253,0
0.286494212,0.723041348,0.643144109,0.48146795,0.431959691,0.678031737,0.643890176,0.759931326,0.401586744,0.726158134,0
0.532025184,0.548415415,0.370756519,0.23238495,0.646557691,0.628771572,0.341189863,0.767761647,0.597914137,0.625399661,0
0.68517082,0.827323758,0.230531392,0.317544623,0.588928224,0.370159025,0.561924265,0.446528787,0.476805726,0.52973259,1
0.285724661,0.312295914,0.23873974,0.438083158,0.717777138,0.654790925,0.366743739,0.344569265,0.698244865,0.644520805,0
0.474766716,0.554655867,0.227892285,0.522758635,0.123562158,0.481454775,0.60353533,0.633317333,0.783304952,0.448127226,1
0.851706346,0.19233969,0.460051046,0.407164889,0.212785915,0.445131424,0.337438073,0.207381647,0.669417713,0.446978003,1
0.13085752,0.571087456,0.348010873,0.236920141,0.463182512,0.731386111,0.359411999,0.472882229,0.353624732,0.251574333,0
0.379912284,0.322128333,0.795860737,0.508072355,0.416720115,0.704517038,0.640683254,0.607890163,0.711320607,0.780508192,0
0.552832285,0.228022191,0.207274861,0.306163492,0.660173751,0.507989778,0.265642599,0.301007864,0.667859731,0.549795938,1
0.127627735,0.477057442,0.607771381,0.459575781,0.701873091,0.506075558,0.857988364,0.464630286,0.659045024,0.497665999,0
0.153456559,0.433336993,0.668164142,0.299149739,0.647632292,0.690924361,0.760776378,0.387392431,0.606243558,0.47379394,0
0.484634377,0.485979056,0.321592694,0.558491504,0.167639751,0.127056134,0.355285611,0.450715359,0.773130414,0.358976993,1
0.595932351,0.28268356,0.354355219,0.262563359,0.449298821,0.378234778,0.078294107,0.494776605,0.705293105,0.318573801,1
0.356895526,0.206892338,0.886421636,0.29919602,0.563043605,0.54576366,0.335891611,0.660183562,0.273009575,0.584849507,0
0.677289887,0.330411369,0.174455209,0.548160954,0.82724005,0.51730956,0.345043153,0.660519548,0.672248338,0.616595644,1
0.638370579,0.566495597,0.288977386,0.208717294,0.29903337,0.40819538,0.350669329,0.499212982,0.564516801,0.629512453,1
0.638941691,0.717008446,0.280466542,0.275748568,0.669860886,0.574360261,0.612786316,0.272051415,0.407982302,0.638884365,0
0.744568244,0.425327648,0.439997588,0.428473223,0.594893672,0.480110082,0.564021117,0.385987204,0.836489489,0.758223909,1
0.737368925,0.412116701,0.151706987,0.435000567,0.463513696,0.493805049,0.28213646,0.462589921,0.605563847,0.722091003,1
0.583910606,0.575014746,0.393069069,0.077371024,0.560905455,0.532623908,0.35420819,0.495677077,0.510060425,0.573493588,0
0.511818533,0.268859456,0.36111114,0.397287731,0.511247034,0.429302883,0.471356754,0.558122876,0.751007282,0.84819624,1
0.661663146,0.201323584,0.240387547,0.342820631,0.488330775,0.427273483,0.46961877,0.358110824,0.742207814,0.655776012,1
0.666672056,0.313829674,0.362847525,0.17530826,0.23924787,0.364486198,0.353894612,0.522684726,0.478002485,0.620634276,1
0.44211437,0.298911006,0.259521385,0.250806956,0.395931594,0.452002433,0.372866614,0.636990663,0.676084828,0.63249884,1
0.216807534,0.464642732,0.361685973,0.402357345,0.63521766,0.475119005,0.523585104,0.544687645,0.027463903,0.629524701,0
0.692281546,0.01150196,0.211668901,0.575820776,0.354194627,0.350342205,0.166491267,0.617915616,0.499100944,0.346232128,1
0.554626546,0.22597372,0.113719463,0.705610289,0.668807581,0.630662939,0.510557772,0.758889341,0.731123523,0.368019774,1
0.198884246,0.430862881,0.660078089,0.412510887,0.533513343,0.374526537,0.29581411,0.453077897,0.293605046,0.81576066,0
0.437660541,0.384931595,0.234119775,0.203033422,0.301331935,0.358067757,0.261160339,0.577130612,0.509989187,0.497792063,1
0.290890492,0.760597731,0.456458422,0.465805875,0.514985245,0.813909123,0.574039431,0.614187843,0.58037551,0.697940552,0
0.708338257,0.581403518,0.33960046,0.436106597,0.591304079,0.559623677,0.129795433,0.373442452,0.224995208,0.733234789,1
0.300278518,0.648655374,0.419809152,0.216040159,0.396454261,0.379656799,0.6091959,0.63820244,0.553812511,0.595922343,0
0.237055932,0.661319626,0.422303745,0.414901366,0.423287327,0.489774507,0.960979712,0.552427221,0.237755272,0.322564273,0
0.37982871,0.312732357,0.534119135,0.330513817,0.573744552,0.2818043,0.296939789,0.151505703,0.507417703,0.720455506,1
0.654443675,0.329174726,0.232947015,0.432012431,0.63909535,0.143555444,0.349667011,0.428057086,0.754337513,0.444110948,1
0.624157236,0.455219961,0.273588161,0.115572362,0.362214351,0.447644714,0.428460394,0.228305304,0.499095662,0.360983532,1
0.723504681,0.38374791,0.392528016,0.321378098,0.576557254,0.242617061,0.323598755,0.561386918,0.722977634,0.651520275,1
0.401099018,0.438353909,0.211980927,0.400434021,0.662012839,0.549112043,0.571637596,0.35332024,0.847789722,0.530537856,1
0.320538968,0.623232516,0.729592101,0.1334216,0.589242152,0.303625675,0.580178796,0.453182994,0.319365175,0.358441726,0
0.403253142,0.60479169,0.635204297,0.278113819,0.628025291,0.852186111,0.574889344,0.661915786,0.591042648,0.639343307,0
0.099826212,0.546045183,0.548975399,0.38060058,0.35378572,0.688518773,0.517093345,0.758131144,0.570279345,0.468979512,0
0.765082669,0.532729369,0.082643223,0.440956809,0.649346361,0.439565122,0.342547167,0.243415946,0.525570796,0.4566119,1
0.455926632,0.409271406,0.2664453,0.586942868,0.469676363,0.403630831,0.458102363,0.050066175,0.485945045,0.774759952,1
0.70998493,0.29221798,0.508285774,0.528239914,0.506710551,0.413747258,0.323789775,0.325766433,0.524917701,0.968071278,1
0.863506551,0.60517901,0.34096735,0.40128535,0.591399278,0.540954343,0.242140571,0.691486927,0.551340304,0.623462013,1
0.31457793,0.664182443,0.549173902,0.26973715,0.400896984,0.451546,0.29597983,0.861262472,0.385321045,0.404183572,0
0.507693338,0.547079977,0.790788144,0.657952695,0.826919947,0.033398664,0.621148678,0.571674011,0.593940734,0.376647281,0
0.22905751,0.618306522,0.530291861,0.558393922,0.829999342,0.50127875,0.372047844,0.790424627,0.354743001,0.675179801,0
0.545255754,0.462924125,0.172815365,0.392900466,0.693926516,0.525368215,0.197850494,0.534642634,0.783988,0.370710284,1
0.675122526,0.427302911,0.469506593,0.273262027,0.685769859,0.672470308,0.347479026,0.345468682,0.270563083,0.818367621,0
0.39671359,0.257479101,0.17328604,0.346106547,0.391653711,0.50647912,0.764661903,0.437749225,0.754194081,0.322502384,1
0.483640499,0.603423581,0.71151706,0.430508385,0.478188069,0.72665488,0.34747483,0.531805291,0.463945955,0.917924665,0
0.685777014,0.486358121,0.411165785,0.485704516,0.635356772,0.260409526,0.295039069,0.430481489,0.785375282,0.721775187,1
0.775945016,0.581180716,0.197182751,0.355814535,0.507032127,0.227698497,0.562604175,0.269954159,0.431635774,0.536816542,1
0.328097623,0.549953201,0.461172067,0.350035772,0.835313363,0.34772772,0.833787267,0.634313327,0.291580248,0.556226927,0
0.251084729,0.397135438,0.386648152,0.477161755,0.50893693,0.548733935,0.737903578,0.821201366,0.572552942,0.704876486,0
0.62212624,0.346941135,0.312877626,0.29528415,0.687337972,0.581375417,0.590758093,0.631056656,0.432310193,0.843604237,0
0.31864499,0.655717623,0.487999346,0.579119086,0.274082399,0.551243562,0.787561982,0.779730695,0.66649656,0.576367986,0
0.199530394,0.242770866,0.84963243,0.703339706,0.617884121,0.86419133,0.373617175,0.565413004,0.188278443,0.277645977,0
0.312771531,0.368077306,0.380399981,0.393164357,0.632908519,0.198861029,0.211931956,0.68500382,0.298879079,0.628338021,0
0.270097903,0.58903963,0.574180147,0.573515161,0.986247086,0.579070939,0.327575448,0.355887543,0.2903434,0.669935901,0
0.36749588,0.668868778,0.732600361,0.60851235,0.866502987,0.701733615,0.435180574,0.734759259,0.659671047,0.563086344,0
0.558976554,0.482137651,0.469698918,0.243405953,0.491839231,0.613107184,0.765275708,0.731965611,0.415594628,0.753797679,0
0.60563029,0.294618575,0.495588947,0.515362702,0.418918579,0.618671768,0.029815733,0.292050735,0.481610867,0.785870047,1
0.415242057,0.394349592,0.737941111,0.204453072,0.571116221,0.666850665,0.918099844,0.545858631,0.263869173,0.267272862,0
0.49733525,0.808301021,0.554403889,0.453504921,0.274530528,0.86187175,0.619198721,0.640215261,0.665990562,0.481287948,0
0.608285223,0.172070109,0.234659079,0.3802225,0.728730169,0.577213909,0.554952248,0.514232434,0.745490797,0.642108948,1
0.446838763,0.562196427,0.366427283,0.358654618,0.346323958,0.330514037,0.526914106,0.111192622,0.314665189,0.708272957,1
0.639472731,0.559423332,0.234261437,0.232415404,0.260017853,0.563719998,0.294249654,0.472901738,0.536379229,0.577850182,1
0.436699098,0.284060172,0.095128025,0.267773151,0.577008907,0.52850261,0.264405989,0.458186551,0.476918712,0.515303283,1
0.392775089,0.419618239,0.427162922,0.407766962,0.457061525,0.816859319,0.165503374,0.576187647,0.622483978,0.734374366,1
0.500107334,0.347449378,0.419859631,0.291491752,0.329915051,0.477975834,0.289260762,0.133385937,0.592197214,0.681780642,1
0.271529794,0.634786008,0.450848388,0.47134066,0.84099183,0.578059306,0.574608835,0.632874664,0.393064832,0.793124277,0
0.416483592,0.717002248,0.301815056,0.475576477,0.497272076,0.627694258,0.297987963,0.559596467,0.265666112,0.811834516,0
0.591796352,0.524768643,0.331166276,0.404285286,0.277363933,0.387135494,0.271696989,0.526063286,0.769073222,0.67340595,1
0.75945064,0.223302956,0.2780367,0.335568686,0.251078648,0.539038611,0.295409575,0.508017969,0.626793397,0.618137715,1
0.770710194,0.43747781,0.274684265,0.288679137,0.431622208,0.32799828,0.225924577,0.339384022,0.696065939,0.27246058,1
0.624060945,0.447952987,0.428583414,0.439130526,0.770491897,0.296454007,0.469102754,0.254358951,0.643337787,0.815190486,1
0.699228231,0.257486381,0.35908408,0.229310318,0.498928801,0.359409932,0.446961122,0.527374123,0.69049218,0.672099719,1
0.263862527,0.360371209,0.529453832,0.423435617,0.376210101,0.732128103,0.21506052,0.722793732,0.26211518,0.701698725,0
0.5587546,0.353150502,0.390542182,0.391536082,0.574798221,0.764870126,0.157055977,0.565451298,0.71672197,0.689632847,1
0.411074879,0.544261306,0.362482925,0.264985819,0.509949695,0.487242855,0.746091279,0.860014746,0.295891441,0.50307956,0
0.554398641,0.190036784,0.220612364,0.480846715,0.939500992,0.460486916,0.695503243,0.473816456,0.585904153,0.608307893,1
0.807514825,0.199348816,0.184139649,0.458507704,0.349993857,0.330818231,0.565345455,0.236647866,0.492851819,0.573552115,1
0.59464985,0.375415828,0.496271033,0.262075738,0.230952365,0.560814558,0.614532793,0.332531161,0.747956655,0.669184894,1
0.243026325,0.650110827,0.292037682,0.269690847,0.583995189,0.512882252,0.58843561,0.396674622,0.368788905,0.657534094,0
0.400184446,0.474646347,0.345509451,0.459098696,0.593626543,0.626448364,1,0.799578264,0.458705307,0.421016222,0
0.312382373,0.520384043,0.800063937,0.665855146,0.743829387,0.535435976,0.491634049,0.945997905,0.550312166,0.449142672,0
0.687061885,0.707158234,0.374817543,0.437301884,0.585510593,0.326809212,0.336880223,0.381289253,0.728555628,0.688482784,1
0.418777688,0.487961248,0.770142334,0.462164657,0.605620212,0.748390028,0.362054157,0.869610947,0.415106964,0.702411223,0
0.490251615,0.714236508,0.397267532,0.446218266,0.631855965,0.358321858,0.292305631,0.771779856,0.255900229,0.706225279,0
0.392513122,0.388590628,0.419536104,0.290825115,0.383090906,0.404462317,0.446553399,0.501604759,0.308918298,0.896826113,0
0.254394032,0.503982618,0.175037427,0.59159699,0.702946384,0.446955552,0.190486994,0.684527509,0.348532408,0.546155108,0
0.469487386,0.644476487,0.550798259,0.64824025,0.811325304,0.206455444,0.297882509,0.462142933,0.714372234,0.66665906,1
0.391884997,0.733103565,0.4911541,0.514159758,0.765389368,0.7198988,0.458020491,0.750359294,0.379113185,0.757892979,0
0.445029346,0.264267707,0.149185598,0.632461596,0.609396392,0.38481762,0.548864289,0.662911574,0.848133989,0.384035627,1
0.522444061,0.429789911,0.375990607,0.12603086,0.528734462,0.462179111,0.615578264,0.762777465,0.212834249,0.461091121,0
0.652824477,0.593773298,0.719312364,0.414758089,0.868597127,0.122731169,0.414074344,0.560866713,0.581276402,0.520992007,0
0.633816711,0.535482224,0.574265617,0.161955141,0.582160939,0.702341525,0.714098472,0.353147103,0.598571622,0.624288818,0
0.2226354,0.549596969,0.55504524,0.293885535,0.589974748,0.57664113,0.626150556,0.873362656,0.377769001,0.508839373,0
0.560058659,0.555027885,0.23635479,0.396534746,0.696640925,0.137237688,0.464963918,0.387489512,0.571141742,0.647578964,1
0.555813074,0.589882335,0.445449516,0.079977678,0.326655395,0.569284344,0.522653472,0.346008943,0.57813076,0.489143281,1
0.964838386,0.340142176,0.249792092,0.315176169,0.427440595,0.369268307,0.630019238,0.4493132,0.46913007,0.451981874,1
0.367924702,0.456338244,0.660257462,0.426928218,0.900132296,0.625781431,0.266366412,0.671822249,0.341358161,0.736784589,0
0.54834444,0.615881718,0.804753977,0.597081422,0.624717725,0.667478582,0.429019662,0.320953513,0.922687754,0.406575511,1
0.339075949,0.654351133,0.254124951,0.577435478,0.544625831,0.310251721,0.765115797,0.850268777,0.287029803,0.313807041,0
0.246052329,0.761649513,0.547698449,0.420082169,0.439744976,0.670441862,0.46638159,0.722094732,0.731549199,0.461112187,0
0.270604579,0.635039678,0.587546613,0.489760736,0.472247836,0.303362816,0.908944611,0.539178877,0.194939346,0.568624804,0
0.324737729,0.519110065,0.69354539,0.332401675,0.585456495,0.642304488,0.29477353,0.860276541,0.234903482,0.534369231,0
0.622799465,0.257879556,0.214752306,0.60617535,0.409975736,0.253831281,0.401353856,0.477265362,0.846256315,0.523229665,1
0.244716036,0.446460557,0.544166613,0.558682967,0.767354402,0.598556816,0.419580427,0.781913744,0.134297802,0.690150857,0
0.363707524,0.236335731,0.312702375,0.481333215,0.616689853,0.639318899,0.215130668,0.297595946,0.551398786,0.798556944,1
0.746985966,0.366327244,0.255582439,0.52367136,0.496118888,0.367720794,0.391167849,0.522622521,0.90683803,0.474682069,1
0.489948208,0.933837062,0.459221665,0.594268279,0.676337796,0.30106311,0.713951106,0.584091815,0.519245872,0.58399987,0
0.613299738,0.757262137,0.366739366,0.46242119,0.545944726,0.46247968,0.341721388,0.639371245,0.823602538,0.565029431,1
0.383143296,0.255823941,0.196039962,0.610311522,0.164086327,0.514654758,0.155806608,0.624473863,0.619848817,0.429066336,1
0.285112859,0.707424324,0.705159713,0.406088311,0.822093757,0.621481068,0.538907563,0.666194604,0.345208305,0.658232687,0
0.451052602,0.69581212,0.532761497,0.598335055,0.66297944,0.79140912,0.451405013,0.765392242,0.526309254,0.79973925,0
0.125191239,0.680122838,0.820124866,0.520397668,0.654160235,0.779617667,0.554379672,0.426836398,0.480155156,0.471727579,0
0.350695766,0.236752142,0.778067826,0.447690032,0.561073422,0.674204335,0.907842068,0.705632871,0.175602625,0.403938047,0
0.415434082,0.655075779,0.157263704,0.431293213,0.458601556,0.618451081,0.68050568,0.636229519,0.582661343,0.655808974,0
0.396569239,0.192260894,0.220216247,0.544655127,0.668539582,0.298094829,0.314912618,0.280333104,0.427375983,0.747116958,1
